,CustomerID,OfferID
0,304,20186
1,304,20186
2,304,21960
3,304,21960
4,134,16797
5,294,21624
6,306,22292
7,306,22292
8,306,20306
9,306,21738
10,306,22292
11,306,21738
12,306,20186
13,306,22292
14,306,22292
15,306,22292
16,306,22292
17,306,20306
18,22,21622
19,22,21622
20,22,21622
21,22,20309
22,22,20309
23,22,20309
24,22,21107
25,22,21107
26,22,20309
27,22,20309
28,22,20309
29,22,21107
30,22,21108
31,22,21108
32,22,21107
33,22,21108
34,22,21110
35,22,21110
36,22,21108
37,22,21108
38,22,21108
39,22,22291
40,22,22296
41,22,22296
42,22,21738
43,22,22296
44,22,21738
45,22,22291
46,22,22291
47,22,22291
48,22,22291
49,22,21622
50,22,21114
51,22,21114
52,22,21114
53,22,21622
54,22,22294
55,22,22294
56,22,21630
57,22,21630
58,22,21630
59,22,22293
60,22,22293
61,22,22293
62,22,21631
63,22,21631
64,22,21631
65,71,12902
66,71,12902
67,71,22125
68,71,22125
69,71,22165
70,71,22165
71,22,21108
72,22,21108
73,22,21630
74,22,21630
75,22,21630
76,22,21110
77,22,21630
78,22,21630
79,22,21110
80,245,15033
81,3,19222
82,3,19222
83,304,22576
84,304,20291
85,304,22572
86,304,22576
87,304,19029
88,304,19029
89,304,19996
90,304,22572
91,304,14134
92,304,14134
93,304,19996
94,304,19744
95,304,22338
96,304,22338
97,304,19839
98,304,19839
99,304,21106
100,304,20388
101,304,20726
102,304,20388
103,304,19744
104,306,21236
105,306,21236
106,306,21755
107,306,20774
108,306,21755
109,306,20774
110,306,20774
111,14,22357
112,14,22357
113,14,16149
114,14,16149
115,14,16149
116,14,22356
117,14,22356
118,19,13859
119,19,13859
120,22,22294
121,22,22294
122,22,22294
123,22,21113
124,22,21113
125,22,21113
126,245,15033
127,22,21631
128,22,21631
129,22,21631
130,22,21633
131,22,21633
132,245,22173
133,245,22173
134,245,22173
135,22,21630
136,22,21630
137,22,21630
138,22,21629
139,22,21631
140,22,21631
141,22,21630
142,22,21629
143,22,21629
144,11,20186
145,22,20602
146,22,20602
147,22,20602
148,11,20186
149,22,21631
150,22,21631
151,22,21631
152,22,21631
153,22,21630
154,22,21630
155,22,21631
156,71,22658
157,71,22658
158,295,20744
159,22,22291
160,22,22291
161,22,21114
162,22,22297
163,22,22297
164,22,21114
165,245,20004
166,245,20004
167,245,20004
168,22,21113
169,3,16080
170,3,18066
171,3,18066
172,245,22125
173,245,22125
174,245,22125
175,245,17745
176,245,17745
177,245,17745
178,3,15831
179,3,15831
180,3,16066
181,3,16080
182,3,15831
183,3,16567
184,3,16567
185,3,15831
186,3,16066
187,22,21113
188,22,21113
189,22,21630
190,22,21630
191,22,21630
192,22,21108
193,22,21108
194,22,21108
195,22,21111
196,22,21111
197,22,21111
198,14,15636
199,14,20228
200,14,22061
201,14,16909
202,14,16250
203,14,16250
204,14,16250
205,14,16909
206,14,22061
207,14,22927
208,14,22927
209,11,19522
210,11,19522
211,11,19522
212,11,20197
213,11,20197
214,11,20197
215,11,22373
216,11,22373
217,22,21113
218,22,21109
219,22,21113
220,22,21113
221,22,21109
222,22,21109
223,22,21631
224,22,21631
225,22,21111
226,22,21111
227,22,21111
228,22,22297
229,22,22297
230,22,20309
231,22,20309
232,22,20309
233,22,20309
234,22,20309
235,22,20309
236,22,20309
237,22,20309
238,22,20309
239,22,21617
240,22,21617
241,22,21617
242,22,22297
243,22,20309
244,22,20309
245,22,20309
246,22,22297
247,22,20309
248,22,20309
249,22,20309
250,22,22290
251,22,21111
252,22,21111
253,22,21111
254,22,20309
255,22,22290
256,22,22290
257,22,20309
258,22,20309
259,22,20309
260,22,20309
261,47,22128
262,47,22128
263,22,20309
264,22,20309
265,22,19941
266,254,21105
267,254,21105
268,3,19496
269,3,19496
270,22,20594
271,22,20594
272,22,19941
273,22,19941
274,22,20596
275,22,20596
276,22,20596
277,22,20596
278,22,20596
279,3,22574
280,3,22572
281,3,22574
282,3,22574
283,3,22572
284,11,22573
285,11,22573
286,11,22573
287,11,22573
288,11,22576
289,11,22576
290,11,19306
291,11,19306
292,11,19306
293,11,19306
294,11,22572
295,11,22574
296,11,22576
297,11,22572
298,11,22576
299,11,22574
300,19,14045
301,19,14045
302,19,14045
303,19,22907
304,19,22929
305,19,22929
306,19,22996
307,19,22996
308,19,23064
309,19,23064
310,19,22907
311,22,21114
312,22,21630
313,22,21114
314,22,21630
315,22,21630
316,71,22658
317,71,11822
318,71,11822
319,71,11822
320,71,11822
321,71,11822
322,71,11822
323,71,11822
324,71,11822
325,71,21125
326,71,19019
327,71,21125
328,22,21108
329,22,21108
330,22,21108
331,136,20480
332,136,20480
333,136,20480
334,71,13393
335,71,13393
336,71,19019
337,71,19019
338,71,19019
339,71,19019
340,22,20309
341,22,20309
342,22,20309
343,22,20309
344,22,21111
345,22,20309
346,22,21111
347,22,21111
348,22,21630
349,136,22539
350,136,22539
351,22,20309
352,22,21630
353,22,21630
354,22,20309
355,22,20309
356,22,20309
357,22,20309
358,22,21631
359,22,21630
360,22,21631
361,22,21630
362,3,22574
363,3,22576
364,3,22574
365,3,22576
366,3,16008
367,3,16008
368,278,21625
369,278,21625
370,278,21625
371,278,21625
372,278,21625
373,310,14409
374,71,23885
375,71,23885
376,71,22128
377,71,22125
378,71,22125
379,71,22874
380,71,22128
381,71,22874
382,22,20309
383,22,20309
384,22,20309
385,22,21631
386,22,21631
387,22,21631
388,22,21109
389,22,21107
390,22,21632
391,22,21632
392,22,21632
393,22,21632
394,22,21109
395,22,21107
396,22,21109
397,71,23900
398,22,21110
399,3,23917
400,71,23352
401,71,18145
402,3,23917
403,71,23352
404,3,23838
405,3,23838
406,71,18145
407,71,23352
408,71,23312
409,71,23352
410,71,23900
411,71,23312
412,71,23312
413,22,21110
414,22,21110
415,3,23851
416,3,23925
417,3,23925
418,3,23851
419,11,19413
420,11,19413
421,71,23312
422,71,23917
423,71,23866
424,71,23866
425,71,23938
426,71,23914
427,71,23917
428,71,23937
429,71,23938
430,71,23914
431,71,23937
432,3,23830
433,3,23840
434,3,23830
435,3,23840
436,3,23840
437,3,23878
438,3,23840
439,3,23910
440,3,23910
441,3,23913
442,3,23913
443,3,23878
444,311,14410
445,19,23581
446,311,22877
447,311,22876
448,311,22876
449,311,14410
450,19,23581
451,311,14410
452,311,22877
453,19,23910
454,19,23910
