OfferID,MerchantID
19856,0
12344,359
12345,359
12346,359
12347,359
12348,359
12349,359
12350,359
12351,359
12352,359
12353,359
12354,359
12355,359
12356,359
12357,359
12358,359
12359,359
12360,359
12361,359
12362,359
12363,359
12364,359
12365,359
12366,359
12367,359
12368,359
12369,359
12370,359
12371,359
12372,359
12373,359
12374,359
12375,359
12376,359
12377,359
12378,359
12379,359
12380,359
12381,359
12382,359
12383,359
12384,359
12385,359
12386,359
12387,359
12388,359
12389,359
12390,359
12391,359
12392,359
12393,359
12394,359
12395,359
12396,359
12397,359
12398,359
12399,359
12400,359
12401,359
12402,359
12403,359
12404,359
12405,359
12406,359
12407,359
12408,359
12409,359
12410,359
12411,359
12412,359
12413,359
12414,359
12415,359
12416,359
12417,359
12418,359
12419,359
12420,359
12421,359
12422,359
12423,359
12424,359
12425,359
12426,359
12427,359
12428,359
12429,359
12430,359
12431,359
12432,359
12433,359
12434,359
12435,359
12436,359
12437,359
12438,359
12439,359
12440,359
12441,359
12442,359
12443,359
13237,359
13238,359
13239,359
13240,359
13241,359
14120,359
14121,359
14122,359
14123,359
14124,359
14164,359
14165,359
14191,359
14192,359
14342,359
14456,359
14457,359
14458,359
14562,359
14849,359
14896,359
14965,359
14966,359
14969,359
14974,359
14975,359
14976,359
15811,359
16290,359
16660,359
16668,359
17008,359
17419,359
18309,359
18310,359
18311,359
18942,359
19570,359
19571,359
19572,359
19573,359
19574,359
19575,359
19576,359
19577,359
19578,359
19579,359
19580,359
19581,359
19582,359
19583,359
19584,359
19585,359
19586,359
19587,359
19588,359
19589,359
19590,359
19591,359
19592,359
19593,359
19594,359
19595,359
19596,359
19597,359
19598,359
19599,359
19600,359
19601,359
19602,359
19603,359
19604,359
19605,359
19606,359
19607,359
19608,359
19609,359
19610,359
19611,359
19612,359
19613,359
19614,359
19615,359
19616,359
19617,359
19618,359
19619,359
19620,359
19621,359
19622,359
19623,359
19624,359
19625,359
19626,359
19627,359
19628,359
19629,359
19630,359
19631,359
19632,359
19633,359
19634,359
19635,359
19636,359
19637,359
19638,359
19639,359
19640,359
19641,359
19642,359
19643,359
19644,359
19645,359
19646,359
19647,359
19648,359
19649,359
19650,359
19651,359
19652,359
19653,359
19654,359
19655,359
19656,359
19657,359
19658,359
19659,359
19660,359
19661,359
19662,359
19663,359
19664,359
19665,359
19666,359
19667,359
19668,359
19669,359
19670,359
19671,359
19672,359
19673,359
19674,359
19675,359
19676,359
19677,359
19678,359
19679,359
19680,359
19681,359
19682,359
19683,359
19684,359
19685,359
19686,359
19687,359
19688,359
19689,359
19690,359
19691,359
19692,359
19693,359
19694,359
19815,359
19816,359
19991,359
19992,359
19993,359
19994,359
19995,359
19996,359
20182,359
20183,359
20184,359
20185,359
20186,359
20187,359
20188,359
20354,359
20355,359
20356,359
20357,359
20358,359
20359,359
20360,359
20361,359
20362,359
20363,359
20364,359
20365,359
20366,359
20367,359
20368,359
20369,359
20370,359
20371,359
20372,359
20373,359
20374,359
20375,359
20376,359
20377,359
20378,359
20379,359
20380,359
20381,359
20382,359
20383,359
20384,359
20385,359
20536,359
20537,359
20538,359
20661,359
20662,359
20780,359
20781,359
20902,359
20903,359
20904,359
20905,359
21236,359
21237,359
21238,359
21239,359
21240,359
21241,359
21242,359
21243,359
21804,359
21805,359
21806,359
21807,359
21808,359
21809,359
21810,359
21811,359
21812,359
21813,359
21814,359
21815,359
21816,359
21817,359
22015,359
22016,359
22389,359
22390,359
22765,359
22766,359
22767,359
22768,359
22769,359
22770,359
22771,359
22772,359
22773,359
22989,359
22990,359
22991,359
22992,359
23166,359
23167,359
23168,359
23169,359
24288,359
24289,359
24290,359
24291,359
24292,359
24293,359
24294,359
24295,359
24296,359
24297,359
24298,359
24299,359
24546,359
24547,359
24548,359
24549,359
24550,359
24551,359
24552,359
24553,359
24554,359
24746,359
24747,359
24748,359
24749,359
24750,359
24751,359
24885,359
25029,359
25030,359
25031,359
25368,359
25369,359
25370,359
25371,359
25372,359
25373,359
25374,359
25375,359
25376,359
26695,359
26920,359
26921,359
26922,359
26923,359
26924,359
27407,359
27408,359
27409,359
28550,359
28551,359
28673,359
28674,359
28824,359
28825,359
28826,359
28827,359
29129,359
29130,359
29131,359
29132,359
29133,359
29134,359
29135,359
29136,359
29137,359
29138,359
29139,359
29140,359
29141,359
29142,359
29143,359
29275,359
29276,359
29277,359
29352,359
29353,359
29354,359
29355,359
29356,359
29357,359
29358,359
29359,359
29940,359
29941,359
29942,359
29943,359
29944,359
29945,359
29946,359
29947,359
29948,359
29949,359
29950,359
29951,359
29952,359
30117,359
30118,359
30119,359
30120,359
30121,359
30122,359
30123,359
30124,359
30125,359
30126,359
30127,359
30128,359
30308,359
30309,359
30310,359
30311,359
30312,359
30313,359
30314,359
30315,359
30316,359
30317,359
30318,359
30499,359
30500,359
30501,359
30502,359
30503,359
30504,359
30505,359
30506,359
30507,359
30508,359
30509,359
30715,359
30716,359
30717,359
30718,359
30719,359
30720,359
30721,359
30722,359
30723,359
30724,359
30725,359
30726,359
30727,359
30728,359
30729,359
30730,359
30731,359
30732,359
31022,359
31023,359
31024,359
31025,359
31026,359
31027,359
31028,359
31029,359
31030,359
31031,359
31032,359
31033,359
31034,359
31035,359
31036,359
31037,359
31038,359
31236,359
31237,359
31238,359
31239,359
31240,359
31241,359
31242,359
31243,359
31244,359
31245,359
31246,359
31247,359
31385,359
31386,359
31387,359
31388,359
31389,359
31390,359
31391,359
31392,359
31393,359
31394,359
31395,359
31396,359
31397,359
31579,359
