"","ShopID","ShopName","Address","Landmark","Area","City","Pincode","Latitude","Longitude","State","StartTime","EndTime","OpenMonday","OpenTuesday","OpenWednesday","OpenThursday","OpenFriday","OpenSaturday","OpenSunday","MerchantID.x","ShopAddDate","OfferID","LMDID","OfferTitle","OfferDesc","TnC1","TnC2","TnC3","TnC4","TnC5","GeneralOfferTnC","Online_Offline","OfferImgUrl1","OfferImgUrl2","OfferImgUrl3","OfferImpactIndex","OfferStartDate","OfferEndDate","CouponType","OfferType","OfferActiveFlag","OfferAddDate","CategoriesCSV","Bank","CategoryID","CategoryName","ParentID","MerchantID.y","Merchant_name","Merchant_Alexa_rank","Merchant_type","PaymentID","BankID","PaymentMode"
"1666",5141,"House of Chai - The O hotel - Pune","The O Hotel, North Main Road, Koregaon Park, Pune","","Koregaon Park","Pune","",18.5362084,73.8939748,"Maharashtra","","",1,1,1,1,1,1,1,4141,"01-02-2016",28041,"","Save 15% on Food Bill","","This offer is sourced from public domain with very high probability of acceptance. But we still insist you to please call the merchant directly to verify the validity of offer","This offer may not be clubbed with any other ongoing offers.","Please check the American Express website for detailed T&C","Kindly let the hotel staff know that you will be using this offer before placing your order",NA,"","Offline","",NA,NA,"NULL","15-08-2015","31-07-2016","Deal","Discount","Y","01-02-2016","","",50000,"Food and Beverages",0,4141,"House of Chai - The O hotel - Pune","0","Offline",2541,21,""
"1667",5142,"Ice Blue Lava - Amer City Hertiage Hotel - Jaipur","B 2, Near Brahmpuri Police Station, Amer Road, Jaipur","","","Jaipur","",26.9540532,75.842311,"Rajasthan","","",1,1,1,1,1,1,1,4142,"01-02-2016",28042,"","Save 15% on Total bill","","This offer is sourced from public domain with very high probability of acceptance. But we still insist you to please call the merchant directly to verify the validity of offer","This offer may not be clubbed with any other ongoing offers.","Please check the American Express website for detailed T&C","Kindly let the hotel staff know that you will be using this offer before placing your order",NA,"","Offline","",NA,NA,"NULL","16-07-2015","31-07-2016","Deal","Discount","Y","01-02-2016","","",50000,"Food and Beverages",0,4142,"Ice Blue Lava - Amer City Hertiage Hotel - Jaipur","0","Offline",2542,21,""
"1668",5143,"Ice Cube- New Delhi","313, Level 3, GIP Mall, Sector 38A, Noida","","Sector 38","Noida","",28.5677063,77.3260096,"Uttar Pradesh","","",1,1,1,1,1,1,1,4143,"01-02-2016",28043,"","Save 15% on Food Bill","","This offer is sourced from public domain with very high probability of acceptance. But we still insist you to please call the merchant directly to verify the validity of offer","This offer may not be clubbed with any other ongoing offers.","Please check the American Express website for detailed T&C","Kindly let the hotel staff know that you will be using this offer before placing your order",NA,"","Offline","",NA,NA,"NULL","30-07-2015","31-07-2016","Deal","Discount","Y","01-02-2016","","",50000,"Food and Beverages",0,4143,"Ice Cube- New Delhi","0","Offline",2543,21,""
"1669",5144,"Illusion - Clarks Inn Gurgaon- New Delhi","Clarks Inn Gurgaon, Plot No 45/46, Civil Lines, Sector 15, Gurgaon","","Civil Lines","Gurgaon","",28.4536211,77.0372413,"Haryana","","",1,1,1,1,1,1,1,4144,"01-02-2016",28044,"","Save 15% on Food & Soft Beverages","","This offer is sourced from public domain with very high probability of acceptance. But we still insist you to please call the merchant directly to verify the validity of offer","This offer may not be clubbed with any other ongoing offers.","Please check the American Express website for detailed T&C","Kindly let the hotel staff know that you will be using this offer before placing your order",NA,"","Offline","",NA,NA,"NULL","03-08-2015","31-07-2016","Deal","Discount","Y","01-02-2016","","",50000,"Food and Beverages",0,4144,"Illusion - Clarks Inn Gurgaon- New Delhi","0","Offline",2544,21,""
"1670",5145,"Imperfecto","209-210 DLF Cyber City, Gurgaon, Haryana, 122002","","Sector 25","Gurgaon","",28.4949762,77.0895421,"Haryana","","",1,1,1,1,1,1,1,4145,"01-02-2016",28045,"","Get 10% off on the total bill","","This offer is sourced from public domain with very high probability of acceptance. But we still insist you to please call the merchant directly to verify the validity of offer","This offer may not be clubbed with any other ongoing offers.","Please check the American Express website for detailed T&C","Kindly let the hotel staff know that you will be using this offer before placing your order",NA,"","Offline","",NA,NA,"NULL","08-12-2015","31-07-2016","Deal","Discount","Y","01-02-2016","","",50000,"Food and Beverages",0,4145,"Imperfecto","0","Offline",2545,21,""
"1671",5146,"Iqra - Nashik","904, Mumbai Agra Highway, Pathardi Phata, Nashik","","","Nashik","",19.9554851,73.7618946,"Maharashtra","","",1,1,1,1,1,1,1,4146,"01-02-2016",28046,"","Save 15% on Food Bill","","This offer is sourced from public domain with very high probability of acceptance. But we still insist you to please call the merchant directly to verify the validity of offer","This offer may not be clubbed with any other ongoing offers.","Please check the American Express website for detailed T&C","Kindly let the hotel staff know that you will be using this offer before placing your order",NA,"","Offline","",NA,NA,"NULL","13-07-2015","31-07-2016","Deal","Discount","Y","01-02-2016","","",50000,"Food and Beverages",0,4146,"Iqra - Nashik","0","Offline",2546,21,""
"1672",5147,"It's Mirchi - Banglore","Plot No 1 & 2, Kiadb Industrial Area, Atitbele, Bangalore","","","Bengaluru","",12.9914723,77.708311,"Karnataka","","",1,1,1,1,1,1,1,4147,"01-02-2016",28047,"","Save 20% on Food & Soft Beverages Bill","","This offer is sourced from public domain with very high probability of acceptance. But we still insist you to please call the merchant directly to verify the validity of offer","This offer may not be clubbed with any other ongoing offers.","Please check the American Express website for detailed T&C","Kindly let the hotel staff know that you will be using this offer before placing your order",NA,"","Offline","",NA,NA,"NULL","10-06-2015","31-07-2016","Deal","Discount","Y","01-02-2016","","",50000,"Food and Beverages",0,4147,"It's Mirchi - Banglore","0","Offline",2547,21,""
"1673",5148,"Jaisalmer- Bangalore","14, St Marks Road, Opposite Bishop Cotton Girls School, Bangalore","","","Bengaluru","",12.9715987,77.5945627,"Karnataka","","",1,1,1,1,1,1,1,4148,"01-02-2016",28048,"","Save 15% on Food Bill","","This offer is sourced from public domain with very high probability of acceptance. But we still insist you to please call the merchant directly to verify the validity of offer","This offer may not be clubbed with any other ongoing offers.","Please check the American Express website for detailed T&C","Kindly let the hotel staff know that you will be using this offer before placing your order",NA,"","Offline","",NA,NA,"NULL","03-08-2015","31-07-2016","Deal","Discount","Y","01-02-2016","","",50000,"Food and Beverages",0,4148,"Jaisalmer- Bangalore","0","Offline",2548,21,""
"1674",5149,"Jannat - Hotel Kanha Shyam - Allahabad","Hotel Kanha Shyam, Civil Lines, Allahabad","","Civil Lines","Allahabad","",25.4563273,81.8360977,"Uttar Pradesh","","",1,1,1,1,1,1,1,4149,"01-02-2016",28049,"","Save 15% on Food & Soft Beverages","","This offer is sourced from public domain with very high probability of acceptance. But we still insist you to please call the merchant directly to verify the validity of offer","This offer may not be clubbed with any other ongoing offers.","Please check the American Express website for detailed T&C","Kindly let the hotel staff know that you will be using this offer before placing your order",NA,"","Offline","",NA,NA,"NULL","03-07-2015","31-07-2016","Deal","Discount","Y","01-02-2016","","",50000,"Food and Beverages",0,4149,"Jannat - Hotel Kanha Shyam - Allahabad","0","Offline",2549,21,""
"1675",5150,"Jashn - Nashik","904, Mumbai Agra Highway, Pathardi Phata, Nashik","","","Nashik","",19.9554851,73.7618946,"Maharashtra","","",1,1,1,1,1,1,1,4150,"01-02-2016",28050,"","Save 15% on Food Bill","","This offer is sourced from public domain with very high probability of acceptance. But we still insist you to please call the merchant directly to verify the validity of offer","This offer may not be clubbed with any other ongoing offers.","Please check the American Express website for detailed T&C","Kindly let the hotel staff know that you will be using this offer before placing your order",NA,"","Offline","",NA,NA,"NULL","13-07-2015","31-07-2016","Deal","Discount","Y","01-02-2016","","",50000,"Food and Beverages",0,4150,"Jashn - Nashik","0","Offline",2550,21,""
