ShopID,ShopName,Address,Landmark,Area,City,Pincode,Latitude,Longitude,State,StartTime,EndTime,OpenMonday,OpenTuesday,OpenWednesday,OpenThursday,OpenFriday,OpenSaturday,OpenSunday,MerchantID,ShopAddDate
2732,Courtyard Restaurant & Bar,"Minoo Minar Building, Off Veera Desai Road, Andheri West",,Andheri West,Mumbai,,19.1314413,72.8342384,Maharashtra,"11:30 AM - 03:30 PM, 06:30 PM - 12:30 AM",,1,1,1,1,1,1,1,2632,06-01-2015
2733,Rockville Bar & Diner,"16, Citi Tower, Sector 15, CBD-Belapur ",,CBD Belapur,Navi Mumbai,,19.0100275,73.0334714,Maharashtra,12:30 PM to 01:00 AM,,1,1,1,1,1,1,1,2633,06-01-2015
2734,Flamboyante,"7, World Trade Centre, Cuffe Parade",,Cuffe Parade,Mumbai,,18.9126831,72.8212934,Maharashtra,"12 Noon to 3:30 PM, 7 PM to 12:30 AM",,1,1,1,1,1,1,1,2634,06-01-2015
2735,The Big Bang Bar & Cafe,"3rd Floor, Kenilworth Building, Above KFC, Linking Road, Bandra West",,Bandra West,Mumbai,,19.0636199,72.8351453,Maharashtra,06:00 PM to 01:30 AM,,1,1,1,1,1,1,1,2635,06-01-2015
2736,"Firangi Paani, Andheri","Level 3, Fun Republic, New Link Road, Andheri West",,Andheri West,Mumbai,,19.1308541,72.830641,Maharashtra,"12:30 PM to 3:30 PM, 6 PM to 1:30 AM",,1,1,1,1,1,1,1,2636,06-01-2015
2737,Chilis Grill & Bar,"13, Ventura Building, Hiranandani Business Park, Central Avenue Road, Powai",,Powai,Mumbai,,19.120035,72.9124686,Maharashtra,12 Noon to 12 Midnight,,1,1,1,1,1,1,1,2637,06-01-2015
2738,Six Degrees  The Leela,"The Leela, Andheri-Kurla Road, Sahar, Andheri East",,Andheri East,Mumbai,,19.1108825,72.8737066,Maharashtra,05:00 PM to 01:30 AM,,1,1,1,1,1,1,1,2638,06-01-2015
2739,Salt Water Cafe,"87 Chapel Road, Rose Minar Annexe, Next to Mount Carmel Church, Bandra West",,Bandra West,Mumbai,,19.0606917,72.8362497,Maharashtra,09:00 AM - 01:00 AM,,1,1,1,1,1,1,1,2639,06-01-2015
2740,Escobar  Tapas Bar,"4th Floor, VN Sphere, Junction of Turner & Linking Road, Bandra West",,Bandra West,Mumbai,,19.0598033,72.8343216,Maharashtra,7:00 PM to 01:30 AM,,1,1,1,1,1,1,1,2640,06-01-2015
2741,Somethings Fishy,"B 11, MIDC, Central Road, Andheri East",,Andheri East,Mumbai,,19.1176369,72.865138,Maharashtra,"12:00 PM to 4:00 PM, 6:00 PM to 11:30 PM",,1,1,1,1,1,1,1,2641,06-01-2015
