OfferID,LMDID,OfferTitle,OfferDesc,TnC1,TnC2,TnC3,TnC4,TnC5,GeneralOfferTnC,Online_Offline,OfferImgUrl1,OfferImgUrl2,OfferImgUrl3,OfferImpactIndex,OfferStartDate,OfferEndDate,CouponType,OfferType,OfferActiveFlag,OfferAddDate,CategoriesCSV,Bank
34591,104997,Designer Mobile Travel Pouch With Multiple Pockets for just Rs.499,,,,,,,,Online,,,,1,31-03-2016,01-05-2016,Deal,Offer,Y,31-03-2016,"Electronics and Gadgets,Mobile Accessories",
34592,104996,Mobile Magnifier Stand for just Rs.1499,,,,,,,,Online,,,,1,31-03-2016,01-05-2016,Deal,Offer,Y,31-03-2016,"Electronics and Gadgets,Mobile Accessories",
34598,104872,Free Shipping  Offer on Products of Rs.2500+,,,,,,,,Online,,,,2,30-03-2016,17-04-2016,Deal,Discount,Y,31-03-2016,"Health and Beauty,Body Care,Mens Grooming,Makeup Products",
34602,105008,Up To 50% discount on Refrigerators & Washing Machine,,,,,,,,Online,,,,3,31-03-2016,01-05-2016,Deal,Discount,Y,31-03-2016,"Electronics and Gadgets,Home Appliances",
34603,105009,Up To 50% Off on Kitchen Appliances,,,,,,,,Online,,,,3,31-03-2016,01-05-2016,Deal,BOGO,Y,31-03-2016,"Electronics and Gadgets,Home Appliances",
34604,105011,Up To 87% discount + Extra 10% discount on Cosmetics Products,,,,,,,,Online,,,,3,31-03-2016,01-05-2016,Code,Coupon,Y,31-03-2016,"Health and Beauty,Body Care,Mens Grooming,Makeup Products",
34605,105012,Rs.499 discount on Purchase Rs.1299,,,,,,,,Online,,,,1,31-03-2016,01-05-2016,Code,Coupon,Y,31-03-2016,"Health and Beauty,Fitness,Nutrition",
34607,NULL,Upto 50% OFF on Door Locks & Electrical Switches,NULL,We accept Cash & Cheque only,,,,,Get best prices and heavy discounts on Godrej Door Locks & Roma Electrical Switches.,Offline,,,,4,30-03-2016,31-03-2017,,Discount,Y,31-03-2016,NULL,NULL
34608,NULL,Upto 20% OFF on Ceramics & Sanitaryware,NULL,We accept Cash & Cheque only,,,,,Get great discount on all types of Ceramics & Sanitary Ware. ,Offline,,,,3,30-03-2016,30-09-2016,,Discount,Y,31-03-2016,NULL,NULL
34620,105067,15% Off on All Products,,,,,,,,Online,,,,3,31-03-2016,01-05-2016,Code,Coupon,Y,01-04-2016,Gift Items,
34621,105065,10% Off on All Products,,,,,,,,Online,,,,3,31-03-2016,01-05-2016,Code,Coupon,Y,01-04-2016,Gift Items,
34622,105066,12% Off on All Products,,,,,,,,Online,,,,3,31-03-2016,01-05-2016,Code,Coupon,Y,01-04-2016,Gift Items,
34631,NULL,"Upto 60% OFF on Brushes, Paints, Canvas, Paper, Markers & More",NULL,All types of Credit & Debit Cards will be accepted.,,,,,World Class Fine Art Creative Leisure & Design Supplies.,Offline,,,,4,17-03-2016,16-04-2016,,Discount,Y,01-04-2016,NULL,NULL
34634,NULL,Flat 10% OFF on Mens & Kids Wear,NULL,AMEX Card will be not accepted.,Other type of Card will be accepted.,,,,Get great discount on Formal & Casual Wear & Western Outfits.,Offline,,,,3,04-03-2016,03-03-2017,,Discount,Y,01-04-2016,NULL,NULL
34636,105226,Extra Rs.300 Cashback for ICICI users (On Super Value Days - 1st & 2nd of every month),,,,,,,,Online,,,,3,01-04-2016,01-05-2016,Deal,Cashback,Y,01-04-2016,"Grocery,Home and Living,Housekeeping,Pet Supplies,Kids and Toddlers,Baby Care,Health and Beauty,Body Care,Mens Grooming,Makeup Products",ICICI
34644,105111,"Fly Non-Stop Delhi to Vienna Starting at Rs.32,002 (on Air India Airlines)",,,,,,,,Online,,,,3,01-04-2016,14-04-2016,Deal,Offer,Y,01-04-2016,"Travel,International Flights",
34645,105112,Free Goodies on China Eastern Airlines on International Flight Bookings,,,,,,,,Online,,,,3,01-04-2016,14-04-2016,Deal,Offer,Y,01-04-2016,"Travel,International Flights",
34646,105129,12% discount on All Products,,,,,,,,Online,,,,3,01-04-2016,01-05-2016,Code,Coupon,Y,01-04-2016,"Electronics and Gadgets,Computer Accessories,Mobile Accessories",
34648,105166,6% Discount when you pay via Mobikwik (Max. Discount of Rs.750),,,,,,,,Online,,,,2,01-04-2016,01-07-2016,Code,Coupon,Y,01-04-2016,"Fashion,Mens Apparels,Womens Apparels,Watches,Ethnic Wear,Lingerie,Eyewear,Footwear,Handbags and Wallets,Jewellery,Fashion Accessories,Training and Materials,Car and Bike Accessories,Electronics and Gadgets,Cameras,Gaming Consoles,Computers and Laptops,Computer Accessories,Mobiles and Tablets,Mobile Accessories,Personal Care Appliances,Home Appliances,Entertainment,Sports,Gaming,Board Games and Toys,Health and Beauty,Body Care,Mens Grooming,Makeup Products,Fitness,Nutrition,Home and Living,Furniture and Decor,Housekeeping,Pet Supplies,Kitchenware,Kids and Toddlers,Kids Fashion,Baby Care,Baby Gears,Stationary,Office Supplies",Mobikwik
34650,105171,6% Discount For Axis Bank Users (Max. Discount of Rs.750),,,,,,,,Online,,,,2,01-04-2016,01-07-2016,Code,Coupon,Y,01-04-2016,"Fashion,Mens Apparels,Womens Apparels,Watches,Lingerie,Eyewear,Footwear,Handbags and Wallets,Jewellery,Fashion Accessories,Car and Bike Accessories,Electronics and Gadgets,Cameras,Computers and Laptops,Computer Accessories,Mobiles and Tablets,Mobile Accessories,Personal Care Appliances,Home Appliances,Entertainment,Sports,Board Games and Toys,Health and Beauty,Body Care,Makeup Products,Fitness,Furniture and Decor,Pet Supplies,Kitchenware,Kids Fashion,Baby Care,Office Supplies",Axis
34651,105170,10% Discount For SBI EMI Users (Max. Discount of Rs.1000),,,,,,,,Online,,,,3,01-04-2016,01-07-2016,Code,Coupon,Y,01-04-2016,"Fashion,Mens Apparels,Womens Apparels,Watches,Lingerie,Eyewear,Footwear,Handbags and Wallets,Jewellery,Fashion Accessories,Car and Bike Accessories,Electronics and Gadgets,Cameras,Computers and Laptops,Computer Accessories,Mobiles and Tablets,Mobile Accessories,Personal Care Appliances,Home Appliances,Entertainment,Sports,Board Games and Toys,Health and Beauty,Body Care,Makeup Products,Fitness,Furniture and Decor,Pet Supplies,Kitchenware,Kids Fashion,Baby Care,Office Supplies",SBI
34652,105169,"8% Discount For ICICI Bank Users (Max. Discount of Rs.1000. Only on 3,6,9,12 Month EMI)",,,,,,,,Online,,,,2,01-04-2016,01-07-2016,Code,Coupon,Y,01-04-2016,"Fashion,Mens Apparels,Womens Apparels,Watches,Lingerie,Eyewear,Footwear,Handbags and Wallets,Jewellery,Fashion Accessories,Car and Bike Accessories,Electronics and Gadgets,Cameras,Computers and Laptops,Computer Accessories,Mobiles and Tablets,Mobile Accessories,Personal Care Appliances,Home Appliances,Entertainment,Sports,Board Games and Toys,Health and Beauty,Body Care,Makeup Products,Fitness,Furniture and Decor,Pet Supplies,Kitchenware,Kids Fashion,Baby Care,Office Supplies",ICICI
34656,105168,6% Discount For ICICI Bank Users (Max. Discount of Rs.750),,,,,,,,Online,,,,2,01-04-2016,01-07-2016,Code,Coupon,Y,01-04-2016,"Fashion,Mens Apparels,Womens Apparels,Watches,Lingerie,Eyewear,Footwear,Handbags and Wallets,Jewellery,Fashion Accessories,Car and Bike Accessories,Electronics and Gadgets,Cameras,Computers and Laptops,Computer Accessories,Mobiles and Tablets,Mobile Accessories,Personal Care Appliances,Home Appliances,Entertainment,Sports,Board Games and Toys,Health and Beauty,Body Care,Makeup Products,Fitness,Furniture and Decor,Pet Supplies,Kitchenware,Kids Fashion,Baby Care,Office Supplies",ICICI
34672,105139,Fly From Hyderabad To Bangalore Starting At Rs.1998,,,,,,,,Online,,,,1,01-04-2016,01-05-2016,Deal,Offer,Y,01-04-2016,"Travel,Domestic Flights",
34696,105144,Women Footwear Starting At Rs.1099,,,,,,,,Online,,,,1,01-04-2016,01-05-2016,Deal,Offer,Y,01-04-2016,"Fashion,Footwear",
34700,105223,"Upto Rs.15,000 OFF on International Flights",,,,,,,,Online,,,,3,01-04-2016,01-05-2016,Code,Coupon,Y,01-04-2016,"Travel,International Flights",
34701,105224,Upto 65% OFF on Hotels (Only on Mobile App),,,,,,,,Online,,,,3,01-04-2016,01-05-2016,Code,Coupon,Y,01-04-2016,"Travel,Hotels",
34705,105150,20% discount on Hotel Booking in Darjeeling And Gangtok,,,,,,,,Online,,,,4,01-04-2016,16-04-2016,Code,Coupon,Y,01-04-2016,"Travel,Hotels",
34707,105115,15% discount on Your First Order of Rs.200 (on Mobile App. Max. Discount is Rs.100),,,,,,,,Online,,,,3,01-04-2016,01-05-2016,Code,Coupon,Y,01-04-2016,"Home and Living,Housekeeping",
34708,105114,20% discount on Mobile App (Max. Discount is Rs.100),,,,,,,,Online,,,,3,01-04-2016,01-05-2016,Code,Coupon,Y,01-04-2016,"Home and Living,Housekeeping",
34709,105113,Dry Cleaning for 2 Piece Suit for just Rs.220 (On Mobile App),,,,,,,,Online,,,,2,01-04-2016,01-05-2016,Deal,Discount,Y,01-04-2016,"Home and Living,Housekeeping",
