"","OfferID","CustomerID","value","interest"
"252",23840,313,"12","NO"
"253",23841,313,"4","NO"
"254",23847,313,"2","NO"
"255",23850,313,"4","NO"
"256",23851,313,"4","NO"
"257",23859,313,"4","NO"
"258",23861,313,"6","NO"
"259",23866,313,"4","NO"
"260",23878,313,"16","NO"
"261",23884,313,"2","NO"
"262",23885,313,"4","YES"
"263",23890,313,"4","NO"
"264",23892,313,"4","NO"
"265",23899,313,"6","NO"
"266",23900,313,"8","NO"
"267",23905,313,"12","NO"
"268",23909,313,"8","NO"
"270",23913,318,"12","NO"
"271",23914,319,"4","NO"
"274",23925,340,"12","NO"
"285",24117,56,"20","NO"
"286",24118,56,"22","NO"
"287",24130,56,"4","NO"
"288",24171,56,"2","NO"
"289",24172,71,"4","NO"
"290",24173,71,"4","YES"
"291",24177,71,"4","NO"
"292",24181,71,"4","NO"
"293",24187,71,"12","NO"
"294",24188,71,"4","NO"
"295",24189,71,"8","NO"
"296",24190,71,"4","NO"
"297",24198,71,"4","NO"
"298",24216,71,"4","NO"
"299",24231,71,"4","NO"
"300",24233,71,"4","NO"
"301",24239,71,"4","NO"
"302",24242,71,"4","NO"
"303",24245,71,"4","NO"
"304",24282,71,"4","NO"
"305",24289,71,"2","NO"
"306",24292,71,"2","NO"
"307",24295,71,"4","NO"
"308",24299,71,"4","NO"
"309",24301,71,"4","NO"
"310",24302,71,"22","NO"
"311",24303,71,"16","NO"
"312",24305,71,"10","NO"
"313",24306,71,"16","NO"
"314",24335,71,"12","NO"
"315",24376,71,"4","NO"
"316",24379,71,"12","NO"
"317",24393,71,"10","NO"
"318",24453,71,"10","YES"
"319",24484,71,"8","NO"
"320",24489,71,"4","NO"
"321",24500,71,"54","NO"
"322",24503,71,"6","NO"
"323",24504,71,"4","NO"
"324",24505,71,"12","NO"
"325",24551,71,"4","NO"
"326",24554,71,"2","NO"
"327",24558,71,"8","NO"
"328",24586,71,"8","NO"
"329",24594,71,"8","NO"
"330",24611,71,"4","NO"
"331",24640,71,"4","NO"
"332",24659,71,"8","NO"
"333",24714,71,"2","NO"
"334",24715,71,"4","NO"
"335",24716,71,"4","NO"
"336",24804,71,"8","NO"
"337",24850,75,"4","NO"
"338",24921,75,"4","NO"
"339",24923,75,"4","NO"
